_BAR,_ID,_nPointsPrice,_nIconIdx,_strID_desc
TEAM_LOGISTICS,UPGRADE_PERK_DOUBLE_GEAR,3,1,PERK_DOUBLE_GEAR
TEAM_LOGISTICS,UPGRADE_PERK_NOMEX_SUIT,6,2,PERK_NOMEX_SUITS
TEAM_LOGISTICS,UPGRADE_PERK_DOUBLE_MEDIKITS,9,3,PERK_DOUBLE_MEDIKITS
TEAM_LOGISTICS,UPGRADE_PERK_EXTRA_SP_SLOTS,12,70,PERK_EXTRA_SP_SLOTS
TEAM_PHYSICAL,UPGRADE_PERK_MELEE_DEFENSE,2,4,PERK_MELEE_DEFENSE
TEAM_PHYSICAL,UPGRADE_PERK_SPEED_INCREASE,5,5,PERK_SPEED_IS_LIFE
TEAM_PHYSICAL,UPGRADE_PERK_MULE,7,6,PERK_MULE
TEAM_PHYSICAL,UPGRADE_PERK_DIE_HARD,12,7,PERK_DIE_HARD
A1_ACCURACY,UPGRADE_PERK_QUICK_AIM,3,8,PERK_QUICK_AIM
A1_ACCURACY,UPGRADE_PERK_CRITICAL_SHOTS,7,9,PERK_CRITICAL_SHOTS
A1_ACCURACY,UPGRADE_PERK_SUREFOOTED,12,10,PERK_SUREFOOTED
A2_RECOIL,UPGRADE_PERK_BARRICADE,2,12,PERK_BARRICADE_SHOOTING
A2_RECOIL,UPGRADE_PERK_STRONG_STANCE,8,14,PERK_STRONG_STANCE
A2_RECOIL,UPGRADE_PERK_C_CLAMP,12,15,PERK_C_CLAMP
A3_TACTICS,UPGRADE_PERK_DOUBLE_BANGERS,4,16,PERK_DOUBLE_BANGERS
A3_TACTICS,UPGRADE_PERK_INTIMIDATING,7,17,PERK_INTIMIDATING
A3_TACTICS,UPGRADE_PERK_ASSAULT_JUMP,12,52,PERK_ASSAULT_JUMP
B1_RECOIL,UPGRADE_PERK_TWIN_SHOT,4,20,PERK_TWIN_SHOT
B1_RECOIL,UPGRADE_PERK_9PELLET_BUCK,7,21,PERK_9_PELLET
B1_RECOIL,UPGRADE_PERK_KILLING_SPREE,12,22,PERK_KILLING_SPREE
B2_RELOAD,UPGRADE_PERK_EXTENSION_TUBES,4,56,PERK_EXTENSION_TUBES
B2_RELOAD,UPGRADE_PERK_RIFLED_SLUGS,8,25,PERK_RIFLED_SLUGS
B2_RELOAD,UPGRADE_PERK_IMPROVED_SLUGS,12,26,PERK_IMPROVED_SLUGS
B3_TACTICS,UPGRADE_PERK_GORE_DEALER,3,28,PERK_GORE_DEALER
B3_TACTICS,UPGRADE_PERK_POINTMAN_ARMOR,7,29,PERK_POINTMAN_ARMOR
B3_TACTICS,UPGRADE_PERK_WEAK_SPOTTER,12,30,PERK_WEAK_SPOTTER
S1_HANDGUN,UPGRADE_PERK_EXTENDED_MAGS,2,63,PERK_EXTENDED_MAGS
S1_HANDGUN,UPGRADE_PERK_SHIELD_BRACE,6,40,PERK_SHIELD_BRACE
S1_HANDGUN,UPGRADE_PERK_LADY_JUSTICE,12,49,PERK_LADY_JUSTICE
S2_SHIELD,UPGRADE_PERK_FORTIFIED,3,45,PERK_FORTIFIED
S2_SHIELD,UPGRADE_PERK_ARMORED_RABBIT,6,41,PERK_ARMORED_RABBIT
S2_SHIELD,UPGRADE_PERK_FIELD_FIXER,12,64,PERK_FIELD_FIXER
S3_TACTICS,UPGRADE_PERK_DEVASTATOR,4,65,PERK_DEVASTATOR
S3_TACTICS,UPGRADE_PERK_CADDYSHACK,8,58,PERK_CADDYSHACK
S3_TACTICS,UPGRADE_PERK_IRON_MAN,12,51,PERK_IRON_MAN
R1_GUNPLAY,UPGRADE_PERK_HANDYMAN,2,67,PERK_HANDYMAN
R1_GUNPLAY,UPGRADE_PERK_DISORIENTED,6,68,PERK_DISORIENTED
R1_GUNPLAY,UPGRADE_PERK_CRIPPLING_SHOTS,9,55,PERK_CRIPPLING_SHOTS
R1_GUNPLAY,UPGRADE_PERK_SURGEON_PRECISION,12,57,PERK_SURGEON_PRECISION
R2_RECON,UPGRADE_PERK_INVISIBLE,4,62,PERK_INVISIBLE
R2_RECON,UPGRADE_PERK_DURACELLS,7,50,PERK_DURACELLS
R2_RECON,UPGRADE_PERK_RESCUE_PLAN,12,54,PERK_RESCUE_PLAN
R3_TACTICS,UPGRADE_PERK_EXTENDED_MAGS_RECON,3,63,PERK_EXTENDED_MAGS_RECON
R3_TACTICS,UPGRADE_PERK_VULTURE,6,59,PERK_VULTURE
R3_TACTICS,UPGRADE_PERK_DOUBLE_TOOLS,9,60,PERK_DOUBLE_TOOLS
R3_TACTICS,UPGRADE_PERK_CAUGHT_IN_THE_ACT,12,48,PERK_CAUGHT_IN_THE_ACT
F1_HANDGUN,UPGRADE_PERK_STEADY_HAND,3,32,PERK_STEADY_HAND
F1_HANDGUN,UPGRADE_PERK_WEAVER_STANCE,6,31,PERK_WEAVER_STANCE
F1_HANDGUN,UPGRADE_PERK_EXTENDED_MAGS,9,63,PERK_EXTENDED_MAGS
