"sitemType","sClass","bIsSpecial","sID","sHUDanimName","sHUDanimNameIcon","fSpeedPenaltyPercent","sMuzzleFlashAnim","sTemplateOverwrite","sScript_OnFire","sScript_OnEmpty","sScript_OnFireALT","Sync","mSync","bAnimSync","bBulletChamber","fShooterSpeedSlowingPercent","fAimFOV","fMuzzleLightSize","bHasLaserSight","fSpreadFOV","fAimErrorMaxFOV","fAimErrorAddPerShot","fAimErrorMulPerShot","fAimErrorCooldownPerSec","nClipSize","nReloadUnitSize","fReloadTimePerUnit","fFireRatePerSec","bCanResetFireRate","nBurstSize","sActorShootVerse","bCanShootFromCrouch","bCanShootFromCover","bCanShootFromAir","bCanShootFromLadders","nDropShellFrame","bUsesMainWeaponAmmo","sSndShoot","sSndShoot2","sSndReload","sSndReload2","sSndEmpty","sSndEmpty2","sBulletType","nBulletsPerShot","fBulletDamage","fBulletDamageObjects","nArmorPiercingRating","fBulletDamageLossPPx","fBulletLife","fBulletMomentum","fBulletCriticalChance","fBulletStunDuration","fBulletSpeed","sBulletExploTemplate","bBulletDirectional","bBulletIgnoreArmor","bBulletIgnoreCover","bBulletDieOnImpact","bBulletCanSplat","fBulletSelfDamageMultiplier","fSoundRadius"
"Gun","Assaulter","","WPN_SMG_MP5A3","WEAPON_SMG_MP5A3","","0.0","MUZZLE_SMG1","","","","","","","false","true","0.2","","1.0","","0.05","0.28","0.015","1.12","0.74","30","30","1.6","13.0","false","0","","true","false","true","false","0","","GUN_MP5_01","GUN_MP5_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","20.0","","1","0.0","0.25","0.02","0.0","0.025","1000.0","","","false","false","true","","","240.0"
"Gun","Assaulter","","WPN_SMG_UMP45","WEAPON_SMG_UMP45","","0.0","MUZZLE_SMG1","","","","","","","false","true","0.2","","1.0","","0.05","0.45","0.035","1.35","2.0","25","25","1.5","10.0","false","0","","true","false","true","false","0","","GUN_UMP45_01","GUN_UMP45_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","40.0","","1","0.0","0.25","0.03","0.0","0.03","1000.0","","","false","false","true","","","240.0"
"Gun","Assaulter","","WPN_CARABINE_M4A1","WEAPON_SMG_M4A1","","0.0","MUZZLE_SMG1","","","","","","false","","true","0.2","","1.0","","0.005","0.7","0.0055","3.8","3","30","30","1.4","11.0","false","0","","true","false","true","false","0","","GUN_M4_01","GUN_M4_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","55.0","","3","0.1","0.4","0.02","0.0","0.025","1000.0","","","false","false","true","","","240.0"
"Gun","Assaulter","","WPN_MCX300_CARBINE","WEAPON_MCX300_CARBINE","","0.0","MUZZLE_SMG1","","","","","false","","","true","0.2","","1.0","","0.01","0.65","0.1","3.8","5.5","30","30","1.4","10.0","false","0","","true","false","true","false","0","","GUN_MCX300_01","GUN_MCX300_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","55.0","","3","0.0","0.35","0.04","0.0","0.03","1000.0","","","false","false","true","","","240.0"
"Gun","Assaulter","","WPN_SMG_P90","WEAPON_P90","","0.0","MUZZLE_SMG1","","","","","","","false","true","0.2","","1.0","","0.09","0.25","0.012","1.12","0.7","50","50","2","15.0","false","0","","true","false","true","false","0","","GUN_P90_01","GUN_P90_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","17.0","","3","0.0","0.3","0.011","0.0","0.0","1000.0","","","false","false","true","","","240.0"
"Gun","Assaulter","","WPN_SMG_MP7","WEAPON_SMG_MP7PDW","","0.0","MUZZLE_SMG1","","","","","","","false","true","0.18","","1.0","","0.041","0.25","0.012","1.12","0.7","40","40","1.4","15.5","false","0","","true","false","true","false","0","","GUN_MP7_01","GUN_MP7_02","RELOAD_TACTICAL","RELOAD_EMERGENCY","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","18.0","","3","0.015","0.3","0.01","0.0","0.0","1000.0","","","false","false","true","","","240.0"
"Gun","Breacher","","","WEAPON_SHOTGUN_M590","","","MUZZLE_M1","","","","WPNSCRIPT_ALT_ONLY","","","true","false","0.3","","1.0","","0.1","0.5","0.05","1.35","0.4","8","1","0.4","1.8","false","0","","true","false","true","false","1","","GUN_MOSSBERG_590A_01_PUMP","GUN_MOSSBERG_590A_02_PUMP","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","18.0","15.0","0","0.016","0.18","0.5","","0.1","900.0","","","false","false","false","true","0.2","300.0"
"Gun","Breacher","","WPN_SHOTGUN_M870","WEAPON_SHOTGUN_M870","","-0.055","MUZZLE_M1","","","","WPNSCRIPT_ALT_ONLY","","","true","false","0","","1.0","","0.135","0.5","0.05","1.35","0.4","4","1","0.4","1.8","false","0","","true","false","true","false","1","","GUN_REMINGTON_870_01_PUMP","GUN_REMINGTON_870_02_PUMP","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","18.0","15.0","0","0.03","0.16","0.2","","0.1","900.0","","","false","false","","true","0.35","300.0"
"Gun","Breacher","","WPN_SHOTGUN_JCOMBAT","WEAPON_SHOTGUN_JCOMBAT","","","MUZZLE_M1","UPGRADE_SHOTGUN_AUTOSHOOT","","","WPNSCRIPT_ALT_ONLY","","","true","false","0.33","","1.0","","0.12","0.9","0.5","0.4","0.4","5","1","0.4","3.0","true","0","","true","false","true","false","1","","GUN_JC_SHOTGUN_01","GUN_JC_SHOTGUN_02","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","16.5","15.0","0","0.022","0.18","0.2","","0.1","900.0","","","false","false","false","true","0.29","300.0"
"Gun","Breacher","","WPN_SHOTGUN_S12K","WEAPON_SHOTGUN_S12K","","","MUZZLE_SHOTGUN","UPGRADE_SHOTGUN_SEMIAUTO","","","","","","true","true","0.3","","1.0","","0.15","1.1","0.1","1.8","1.2","7","7","1.65","2.8","true","0","","true","false","true","false","1","","GUN_S12K_01","GUN_S12K_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","15.0","15.0","0","0.035","0.2","0.2","","0.1","900.0","","","false","false","false","true","0.35","300.0"
"Gun","Breacher","","WPN_SHOTGUN_KSG","WEAPON_SHOTGUN_KSG","WPNALT_AMMO_CHANGEBACK","","MUZZLE_SHOTGUN","UPGRADE_BREACHER_KSG","","","WPNSCRIPT_SWITCH_PRIM_ALT","","","true","false","0.3","","1.0","","0.11","1.1","0.1","1.8","1.2","5","1","0.4","2.0","false","0","","true","false","true","false","1","","GUN_KSG_01_PUMP","GUN_KSG_02_PUMP","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","16.5","15.0","0","0.024","0.2","0.2","","0.1","900.0","","","false","false","false","true","0.35","300.0"
"Gun","Breacher","","WPN_SHOTGUN_KSG_SLUGS","WEAPON_SHOTGUN_KSG_SLUG","WPNALT_AMMO_CHANGE","","MUZZLE_M1","UPGRADE_BREACHER_KSG","","","WPNSCRIPT_SWITCH_PRIM_ALT","","","true","false","0.3","","1.0","","0.045","1.1","0.1","1.8","1.2","5","1","0.4","2.0","false","0","","true","false","true","false","2","","GUN_SLUG_01_PUMP","GUN_SLUG_02_PUMP","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN_SLUG","1","200.0","","1","0.0","0.7","1.8","","0.05","525.0","","","false","false","","true","","240.0"
"Gun","Breacher","","WPN_SHOTGUN_HK512","WEAPON_SHOTGUN_HK512","WPNALT_PARALLEL","","MUZZLE_M1","UPGRADE_BREACHER_HK512","","","WPNSCRIPT_SWITCH_PRIM_ALT_KEEPAMMO","","","true","false","0.31","","1.0","","0.165","0.9","0.5","0.4","0.5","7","1","0.45","2.7","true","0","","true","false","true","false","1","","GUN_JC_SHOTGUN_01","GUN_JC_SHOTGUN_02","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","18.0","15.0","0","0.025","0.2","0.4","","0.1","900.0","","","false","false","true","true","","300.0"
"Gun","Breacher","","WPN_SHOTGUN_HK512_HORIZONTAL","WEAPON_SHOTGUN_HK512","WPNALT_SPREAD","","MUZZLE_M1","UPGRADE_BREACHER_HK512","","","WPNSCRIPT_SWITCH_PRIM_ALT_KEEPAMMO","","","true","false","0.31","","1.0","","0.035","0.45","0.5","0.4","0.5","7","1","0.45","2.7","true","0","","true","false","true","false","1","","GUN_JC_SHOTGUN_01","GUN_JC_SHOTGUN_02","RELOAD_SHOTGUN_SHELL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","15.0","15.0","0","0.01","0.25","0.2","","0.1","900.0","","","false","false","false","true","0.9","300.0"
"Gun","Breacher","","WPN_SHOTGUN_SIX12REVO","WEAPON_SIX12REVO","WPNALT_AMMO_CHANGEBACK","","MUZZLE_SHOTGUN","UPGRADE_BREACHER_SIX12","","","WPNSCRIPT_SWITCH_PRIM_ALT_FILLAMMO","","","true","false","0.33","","1.0","","0.09","1.1","0.1","1.95","1.2","6","6","2.1","2.2","false","0","","true","false","true","false","1","","GUN_KSG_01","GUN_KSG_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN","8","15.0","15.0","0","0.02","0.2","0.2","","0.1","900.0","","","false","false","false","true","0.35","300.0"
"Gun","Breacher","","WPN_SHOTGUN_SIX12REVO_SLUG","WEAPON_SIX12REVO_SLUGS","WPNALT_AMMO_CHANGE","","MUZZLE_M1","UPGRADE_BREACHER_SIX12","","","WPNSCRIPT_SWITCH_PRIM_ALT_FILLAMMO","","","true","false","0.33","","1.0","","0.035","1.1","0.5","1.8","1.2","6","6","2.1","2.2","false","0","","true","false","true","false","2","","GUN_SLUG_01","GUN_SLUG_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_SHOTGUN_SLUG","1","200.0","","1","0.0","0.6","1.8","","0.05","525.0","","","false","false","","true","","240.0"
"Gun","Shield","","WPN_SWAT_REVOLVER","WEAPON_SWAT_REVOLVER","","","MUZZLE_GUN","","","","","","","false","false","0.1","","1.0","","0.02","0.2","0.045","1.5","1.5","8","8","1.85","4.0","false","0","","true","false","true","false","0","","gun_magnum_357_01","gun_magnum_357_02","RELOAD_REVOLVER","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","45.0","","1","0.08","0.28","0.08","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Shield","","WPN_PISTOL_G18C","WEAPON_G18C_AUTO_PISTOL","","","MUZZLE_SMG1","","","","","","","false","true","0.12","","1.0","","0.1","0.4","0.04","1.8","1.6","19","19","1.8","16.0","false","0","","true","false","true","false","0","","GUN_GLOCK_17_01","GUN_GLOCK_17_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","30.0","","1","0.095","0.24","0.06","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Shield","","WPN_PISTOL_G17","WEAPON_PISTOL_G17","","","MUZZLE_GUN","","","","","","","false","true","0.1","","1.0","","0.065","0.2","0.045","1.5","1.6","17","17","1.5","5.0","true","0","","true","false","true","false","0","","GUN_GLOCK_17_01","GUN_GLOCK_17_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","33.0","","1","0.085","0.24","0.06","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Shield","","WPN_PISTOL_P226","WEAPON_PISTOL_P226","","","MUZZLE_S1","","","","","","","false","true","0.0","","1.0","","0.025","0.2","0.065","2.0","1.5","15","15","1.35","5.0","true","0","","true","false","true","false","0","","GUN_P226_01","GUN_P226_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","35.0","","1","0.081","0.24","0.5","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Shield","","WPN_PISTOL_MP40","WEAPON_PISTOL_MP40","","","MUZZLE_S1","","","","","","","false","true","0.1","","1.0","","0.065","0.5","0.06","2.0","1.7","15","15","1.5","5.0","true","0","","true","false","true","false","0","","GUN_MP40_01","GUN_MP40_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","40.0","","1","0.10","0.25","0.08","0.0","0.05","1000.0","","","false","false","true","","","160.0"
"Gun","Shield","","WPN_PISTOL_1911","WEAPON_PISTOL_1911","","","MUZZLE_S1","","","","","","","false","true","0.11","","1.0","","0.05","0.6","0.17","1.0","1.6","7","7","1.3","5.0","true","0","","true","false","true","false","0","","GUN_1911_45ACP_01","GUN_1911_45ACP_02","RELOAD_TACTICAL","","GUN_EMPTY_01","GUN_EMPTY_02","BULLET_TRACER1","1","51.0","","0","0.011","0.25","0.09","0.0","0.05","1000.0","","","false","false","true","","","160.0"
