"id","sIgnoredClass","fDamage","fDamageObjectsMultiplier","nArmorPiercingRating","fDamageRadius","fStunDuration","fStunRadius","fSoundRadius","nShrapnelCnt","nNapalmCnt","fMaxImpulse","sDoTType","fDoTRadius","fDoTDuration","fDoTDamagePerSec","sDoTClassFilter","sDoTIgnoredClass"
"EXPLO_BARREL","","240.0","0.7","2","64.0","0.0","0.0","320.0","4","6","1000.0","DoT_FIRE","64.0","3.0","10.0","",""
"EXPLO_LARGE","","200.0","","1","64.0","0.0","0.0","320.0","4","","1000.0","","","","","",""
"EXPLO_LARGE_XL","","300.0","","2","80.0","1.0","120.0","320.0","6","","1500.0","","","","","",""
"EXPLO_GRENADE","","220.0","","3","70.0","0.0","0.0","320.0","4","","1200.0","","","","","",""
"EXPLO_GRENADE_GROUND","","250.0","","3","70.0","0.0","0.0","320.0","4","","4000.0","","","","","",""
"EXPLO_FLASHBANG","PLAYER","30.0","","0","64.0","3.0","128.0","160.0","4","","0.0","DoT_FIRE","10.0","3.0","35.0","","PLAYER"
"EXPLO_SHIELD_FLASH","","0.0","","0","0.0","3.0","128.0","160.0","","","0.0","","","","","","PLAYER"
"EXPLO_CHARGE","","120.0","","1","36.0","1.5","64.0","200.0","4","","500.0","","","","","",""
"EXPLO_CHARGE_INVISIBLE","","200.0","","3","64.0","0.6","32.0","320.0","","","800.0","","","","","",""
"EXPLO_BLOWUP_VEST","","200.0","","3","64.0","0.0","0.0","320.0","4","","800.0","","","","","",""
"EXPLO_STUN_INVISIBLE","","1.0","","0","64.0","0.8","32.0","320.0","","","9200.0","","","","","",""
"EXPLO_MOLOTOV","","40.0","","0","64.0","0.0","0.0","320.0","","6","0.0","DoT_FIRE","32.0","3.0","10.0","",""
"EXPLO_BURN_DOT","","0.0","","5","8.0","12.0","0.5","320.0","","","0.0","DoT_FIRE","32.0","4.0","45.0","","PLAYER"
"EXPLO_FAKE_CAM_BALL","","0.0","","","8.0","0.0","0.0","0.0","","","0.0","DoT_TARGETED","128.0","3.0","0.0","",""
"EXPLO_FAKE_CAM_BALL_HOSTAGES","","0.0","","","8.0","0.0","0.0","0.0","","","0.0","DoT_TARGETED_ALLY","128.0","3.0","0.0","HOSTAGE",""
"EXPLO_FAKE_CAM_BALL_1SEC","","0.0","","","8.0","0.0","0.0","0.0","","","0.0","DoT_TARGETED","128.0","1.1","0.0","",""
"EXPLO_FAKE_CAM_BALL_HOSTAGES_1SEC","","0.0","","","8.0","0.0","0.0","0.0","","","0.0","DoT_TARGETED_ALLY","128.0","1.1","0.0","HOSTAGE",""
"EXPLO_FAKE_SPY_CAMERA","","0.0","","","8.0","0.0","0.0","0.0","","","0.0","DoT_TARGETED","160.0","8.0","0.0","",""
"EXPLO_FAKE_SPY_CAMERA_HOSTAGES","","0.0","","","8.0","0.0","0.0","0.0","","","0.0","DoT_TARGETED_ALLY","160.0","8.0","0.0","HOSTAGE",""
"EXPLO_FAKE_INTIMIDATE","","0.0","","","8.0","0.0","0.0","0.0","","","0.0","DoT_INTIMIDATED","96.0","2.0","0.0","HUMAN",""
"EXPLO_FLAME_JET","","0.0","","5","8.0","0.0","0.0","32.0","","","0.0","DoT_FIRE","32.0","2.0","13.0","PLAYER",""
"EXPLO_GREEN_GOO","","10.0","","5","16.0","0.0","0.0","32.0","","","0.0","DoT_ZOMBIE_POISON","32.0","3.0","5.0","","ZOMBIE"
"EXPLO_GREEN_GOO_GROUND","","10.0","","5","16.0","0.0","0.0","32.0","","","0.0","DoT_ZOMBIE_POISON","32.0","3.0","5.0","","ZOMBIE"
"EXPLO_INVISIBLE_EXPLODING_ZOMBIE","","30.0","","5","64.0","0.0","0.0","96.0","","","10000.0","DoT_ZOMBIE_POISON","32.0","3.0","5.0","","ZOMBIE"
