_id,_class,_strID_name,_nIconIdx,_strALTFireWeaponTemplate,_strID_ALTname,_nIconIdxALT,_strID_stat1,_fPercent_stat1,_strID_stat2,_fPercent_stat2,_strID_stat3,_fPercent_stat3,_strID_stat4,_fPercent_stat4
WPN_SMG_MP5A3,ASSAULTER,WPN_SMG_MP5A3,6,WPN_SUBMACHINE_STEADY,SPECIAL_AIMED_SHOT,2,DAMAGE,0.2,ROF,0.59,ACCURACY,0.6,RECOIL,0.25
WPN_SMG_UMP45,ASSAULTER,WPN_SMG_UMP45,7,WPN_SUBMACHINE_STEADY,SPECIAL_AIMED_SHOT,2,DAMAGE,0.4,ROF,0.455,ACCURACY,0.6,RECOIL,0.5
WPN_SMG_MP7,ASSAULTER,WPN_MP7_PDW,25,WPN_SUBMACHINE_STEADY,SPECIAL_AIMED_SHOT,2,APDAMAGE,0.185,ROF,0.704,ACCURACY,0.672,RECOIL,0.2
WPN_SMG_P90,ASSAULTER,WPN_SMG_P90,12,WPN_SUBMACHINE_STEADY,SPECIAL_AIMED_SHOT,2,APDAMAGE,0.17,ROF,0.682,ACCURACY,0.33,RECOIL,0.2
WPN_CARABINE_M4A1,ASSAULTER,WPN_CARBINE_M4A1,8,WPN_SUBMACHINE_STEADY,SPECIAL_AIMED_SHOT,2,APDAMAGE,0.55,ROF,0.5,ACCURACY,1,RECOIL,0.75
WPN_MCX300_CARBINE,ASSAULTER,WPN_CARBINE_MCX300,16,WPN_SUBMACHINE_STEADY,SPECIAL_AIMED_SHOT,2,APDAMAGE,0.55,ROF,0.455,ACCURACY,0.95,RECOIL,0.9
WPN_SHOTGUN_M590,BREACHER,WPN_SHOTGUN_M590,3,WPN_SHOTGUN_SLUG_M590,SPECIAL_SLUG_FIRE,3,SPREAD,0.6,AMMO,0.8,RELOAD,0.32,ROF,0.6
WPN_SHOTGUN_M870,BREACHER,WPN_SHOTGUN_M870,9,WPN_SHOTGUN_SLUG_M870,SPECIAL_SLUG_FIRE,3,SPREAD,0.81,AMMO,0.4,RELOAD,0.96,ROF,0.6
WPN_SHOTGUN_S12K,BREACHER,WPN_SHOTGUN_S12K,5,,NONE,0,SPREAD,0.9,AMMO,0.8,RELOAD,0.94,ROF,0.93
WPN_SHOTGUN_JCOMBAT,BREACHER,WPN_SHOTGUN_JCOMBAT,4,WPN_SHOTGUN_SLUG_JCOMBAT,SPECIAL_SLUG_FIRE,3,SPREAD,0.72,AMMO,0.5,RELOAD,0.8,ROF,1
WPN_SHOTGUN_KSG,BREACHER,WPN_SHOTGUN_KSG,11,WPN_SHOTGUN_KSG_SLUGS,SPECIAL_TWO_MAGAZINES,7,SPREAD,0.84,AMMO,0.5,RELOAD,0.1,ROF,0.66
WPN_SHOTGUN_HK512,BREACHER,WPN_SHOTGUN_HK512,10,WPN_SHOTGUN_HK512_HORIZONTAL,SPECIAL_FIRE_MODE_CHANGE,6,SPREAD,0.4,AMMO,0.7,RELOAD,0.34,ROF,0.9
WPN_SHOTGUN_SIX12REVO,BREACHER,WPN_SIX12_REVO,28,WPN_SHOTGUN_SIX12REVO_SLUG,SPECIAL_TWO_MAGAZINES,7,SPREAD,0.55,AMMO,0.6,RELOAD,0.65,ROF,0.73
WPN_PISTOL_G17,SHIELD,WPN_PISTOL_G17,0,,NONE,0,DAMAGE,0.33,RECOIL,0.35,AMMO,0.857,RELOAD,0.5
WPN_PISTOL_P226,SHIELD,WPN_PISTOL_P226,14,,NONE,0,DAMAGE,0.35,RECOIL,0.41,AMMO,0.762,RELOAD,0.95
WPN_PISTOL_MP40,SHIELD,WPN_PISTOL_MP40,1,,NONE,0,DAMAGE,0.4,RECOIL,0.5,AMMO,0.762,RELOAD,0.5
WPN_PISTOL_1911,SHIELD,WPN_PISTOL_1911,2,,NONE,0,DAMAGE,0.51,RECOIL,0.75,AMMO,0.381,RELOAD,0.7
WPN_PISTOL_FIVESEVEN,SHIELD,WPN_PISTOL_FIVESEVEN,13,,NONE,0,APDAMAGE,0.26,RECOIL,0.2,AMMO,1,RELOAD,0.2
WPN_SWAT_REVOLVER,SHIELD,WPN_SWAT_REVOLVER,22,,NONE,0,DAMAGE,0.85,RECOIL,0.38,AMMO,0.381,RELOAD,0.5
WPN_PISTOL_G18C,SHIELD,WPN_G18C_AUTO_PISTOL,23,,NONE,0,DAMAGE,0.3,RECOIL,0.3,AMMO,0.94,RELOAD,0.2
WPN_PISTOL_G19M_FBI,FBI_AGENT,WPN_PISTOL_G19M,0,WPN_PISTOL_G19M_FBI_ALTFIRE,SPECIAL_DOUBLE_TAP,8,DAMAGE,0.33,RECOIL,0.3,AMMO,0.762,RELOAD,0.5
WPN_PISTOL_MP40_FBI,FBI_AGENT,WPN_PISTOL_MP40,1,WPN_PISTOL_MP40_FBI_ALTFIRE,SPECIAL_DOUBLE_TAP_FAST,8,DAMAGE,0.4,RECOIL,0.4,AMMO,0.762,RELOAD,0.5
WPN_PISTOL_1911_FBI,FBI_AGENT,WPN_PISTOL_1911,2,WPN_PISTOL_1911_FBI_ALTFIRE,SPECIAL_DOUBLE_TAP,8,DAMAGE,0.5,RECOIL,0.75,AMMO,0.381,RELOAD,0.7
WPN_PISTOL_MODEL1076_FBI,FBI_AGENT,WPN_PISTOL_MODEL1076,15,WPN_PISTOL_MODEL1076_FBI_ALTFIRE,SPECIAL_DOUBLE_TAP,8,DAMAGE,0.5,RECOIL,0.65,AMMO,0.571,RELOAD,0.7
WPN_PISTOL_FIVESEVEN_FBI,FBI_AGENT,WPN_PISTOL_FIVESEVEN,13,WPN_PISTOL_FIVESEVEN_FBI_ALTFIRE,SPECIAL_DOUBLE_TAP,8,APDAMAGE,0.25,RECOIL,0.2,AMMO,1,RELOAD,0.6
WPN_PISTOL_G18C_FBI,FBI_AGENT,WPN_G18C_AUTO_PISTOL,23,,NONE,0,DAMAGE,0.33,RECOIL,0.3,AMMO,0.94,RELOAD,0.7
WPN_FBI_REVOLVER,FBI_AGENT,WPN_FBI_REVOLVER,24,WPN_FBI_REVOLVER_AIMED,SPECIAL_AIMED_SHOT_FBI,2,DAMAGE,0.66,RECOIL,0.65,AMMO,0.286,RELOAD,0.8
WPN_SMG_MP9SD,RECON,WPN_SMG_MP9SD,18,WPN_MP9SD_AIMED,SPECIAL_RECON_BURST,9,DAMAGE,0.18,ROF,0.832,ACCURACY,0.6,RECOIL,0.2
WPN_SMG_UZI,RECON,WPN_SMG_UZI,21,WPN_UZI_AIMED,SPECIAL_RECON_BURST,9,DAMAGE,0.25,ROF,0.455,ACCURACY,0.81,RECOIL,0.25
WPN_SMG_MP5SD,RECON,WPN_SMG_MP5SD,17,WPN_RECONMP5SD_STEADY,SPECIAL_AIMED_SHOT_SD,2,DAMAGE,0.15,ROF,0.527,ACCURACY,0.9,RECOIL,0.2
WPN_SMG_MP7SD,RECON,WPN_SMG_MP7SD,19,WPN_MP7SD_AIMED,SPECIAL_RECON_BURST,9,APDAMAGE,0.17,ROF,0.682,ACCURACY,0.81,RECOIL,0.21
WPN_SMG_CBJ,RECON,WPN_SMG_CBJ,20,WPN_CBJ_AIMED,SPECIAL_RECON_BURST,9,APDAMAGE,0.22,ROF,0.527,ACCURACY,0.52,RECOIL,0.35
WPN_TRUNK_CARBINE,OFFDUTYGUY,WPN_TRUNK_CARBINE,31,WPN_SUBMACHINE_STEADY,SPECIAL_AIMED_SHOT,2,APDAMAGE,0.45,ROF,0.273,ACCURACY,1,RECOIL,0.7
WPN_TRAPPER_RIFLE,OFFDUTYGUY,WPN_TRAPPER_RIFLE,29,WPN_SUBMACHINE_STEADY,SPECIAL_AIMED_SHOT,2,DAMAGE,1,ROF,0.064,ACCURACY,0.6,RECOIL,0.3
WPN_TRICKED_OUT_AK,OFFDUTYGUY,WPN_TRICKED_OUT_AK,27,WPN_SUBMACHINE_STEADY_SD,SPECIAL_AIMED_SHOT_SD,2,APDAMAGE,0.5,ROF,0.273,ACCURACY,0.456,RECOIL,0.6
